date,type,weighted_return,weighted_rolling_return
2025-02-20,Altcoin,2.966210057034546,-0.21323713944497286
2025-02-20,BTC,1.1089273188617854,-0.18387775324066066
2025-02-20,ETH,1.69722529005929,-0.09079367901331294
2025-02-21,Altcoin,1.1316051001558978,-0.02508105896397627
2025-02-21,BTC,1.8947214057701167,0.27289856343997976
2025-02-21,ETH,0.9868685724126802,0.36637034690996845
2025-02-22,Altcoin,-3.780792870424186,-1.0050496689693666
2025-02-22,BTC,-2.286098058299446,-0.19080391613978417
2025-02-22,ETH,-3.036419238650656,-0.32880761856205215
2025-02-23,Altcoin,1.7453068174122306,-0.7017277516774434
2025-02-23,BTC,0.4462454218815859,-0.13899300749804006
2025-02-23,ETH,3.987746345839316,0.40785499959686616
2025-02-24,Altcoin,-0.9296004587456284,-0.7063917498299148
2025-02-24,BTC,-0.2451127478150239,0.033988651788991894
2025-02-24,ETH,2.2728328951527432,0.907187726710399
2025-02-25,Altcoin,-11.33170321544184,-2.0120049658621624
2025-02-25,BTC,-5.118681696520378,-0.6418034447897362
2025-02-25,ETH,-11.463029698961114,-1.1708087918335208
2025-02-26,Altcoin,1.5434077684530552,-1.249451355831948
2025-02-26,BTC,-2.889596234165903,-1.0127992271838946
2025-02-26,ETH,-0.31113250627299305,-0.837986905774391
2025-02-27,Altcoin,-4.408733840052784,-2.280534038687418
2025-02-27,BTC,-5.470804215649505,-1.9527608749712217
2025-02-27,ETH,-6.79118613555233,-2.050617109433194
2025-02-28,Altcoin,0.6633133910520607,-2.354052750721675
2025-02-28,BTC,0.964277359532062,-2.0856814530052294
2025-02-28,ETH,-0.882729417788819,-2.3177025366048367
2025-03-01,Altcoin,-0.19964155646469764,-1.862038692141355
2025-03-01,BTC,-0.3154837124910381,-1.8041651178897429
2025-03-01,ETH,-3.04160115896166,-2.31844281093498
2025-03-02,Altcoin,1.1351633245247421,-1.9528446155138246
2025-03-02,BTC,1.8513972926252231,-1.6034291363549376
2025-03-02,ETH,-1.001244406473778,-3.0311557755511367
2025-03-03,Altcoin,25.413968374667352,1.7594630458546356
2025-03-03,BTC,9.599734858159392,-0.19702233550144932
2025-03-03,ETH,13.76132215190491,-1.3899430245865412
2025-03-04,Altcoin,-16.19907171853625,0.9624912776757788
2025-03-04,BTC,-8.63217309417501,-0.6989496780235397
2025-03-04,ETH,-14.663850091710728,-1.8472030806936288
2025-03-05,Altcoin,2.5606589887715714,1.1551597272777119
2025-03-05,BTC,1.3771785889272525,-0.08941041758166035
2025-03-05,ETH,1.084508664199979,-1.6478257706260615
2025-03-06,Altcoin,2.253721966721473,2.1243653719005593
2025-03-06,BTC,3.7718993230345443,1.2309758022303467
2025-03-06,ETH,3.218386817986585,-0.21788677726335934
2025-03-07,Altcoin,0.3029222474698032,2.057390929389315
2025-03-07,BTC,-0.6651798711629353,0.9981961978453471
2025-03-07,ETH,-1.7428239233596488,-0.34075742091633504
2025-03-08,Altcoin,-4.5863401016240255,1.3751809630789633
2025-03-08,BTC,-3.586682950592812,0.5308820209736651
2025-03-08,ETH,-2.7957293590536336,-0.3056328780723313
2025-03-09,Altcoin,-1.6178674334264718,0.9612159990793142
2025-03-09,BTC,-0.72643584555524,0.1626201440907418
2025-03-09,ETH,2.7677074121490675,0.23278881030236093
2025-03-10,Altcoin,-7.952623306311395,-3.572199405848445
2025-03-10,BTC,-6.259180046256474,-2.1029391279686678
2025-03-10,ETH,-8.306094610001157,-2.9196992985413632
2025-03-11,Altcoin,-5.249120826573477,-2.0405335091060692
2025-03-11,BTC,-2.436124591751365,-1.2177893419081467
2025-03-11,ETH,-6.848000791755027,-1.8031493985476914
2025-03-12,Altcoin,5.283816966088096,-1.658921688709102
2025-03-12,BTC,5.0964288157419935,-0.6864678809346125
2025-03-12,ETH,2.245026796602323,-1.6373610939187848
2025-03-13,Altcoin,2.671673267676518,-1.5918120769249655
2025-03-13,BTC,1.3105669673419973,-1.0380867888906906
2025-03-13,ETH,-0.5545583525722098,-2.17635326114147
2025-03-14,Altcoin,-0.8362305399950358,-1.7418742794107969
2025-03-14,BTC,-3.3204629042709044,-1.4174129364775434
2025-03-14,ETH,-2.5049105147106454,-2.2852227741916122
2025-03-15,Altcoin,4.36640631102701,-0.480981744561905
2025-03-15,BTC,3.542352137586624,-0.3989793524519096
2025-03-15,ETH,2.5698659983788064,-1.5187091517012639
2025-03-16,Altcoin,2.4946087545077216,0.10635680327552428
2025-03-16,BTC,0.500146680380098,-0.22375327731828992
2025-03-16,ETH,1.5240452128442383,-1.696375180173382
2025-03-17,Altcoin,-4.4471976838501135,0.6117066467764345
2025-03-17,BTC,-2.110484284098013,0.3689175458472045
2025-03-17,ETH,-2.6818088987900612,-0.8929057928575113
2025-03-18,Altcoin,2.813872753065836,1.7648386951060273
2025-03-18,BTC,1.7730748634636084,0.9702317537350578
2025-03-18,ETH,2.1940776107385096,0.3988196932129939
2025-03-19,Altcoin,-1.0787548979078605,0.8511619151379508
2025-03-19,BTC,-1.5406832915503599,0.022072881264721733
2025-03-19,ETH,0.18728381253430015,0.10485640977470492
2025-03-20,Altcoin,6.339340808787847,1.352878151292357
2025-03-20,BTC,4.87486001646702,0.5312576025682963
2025-03-20,ETH,6.619020750056648,1.1296534244359704
2025-03-21,Altcoin,-3.050233528747707,1.0263560505169957
2025-03-21,BTC,-2.93104253455182,0.586889083956737
2025-03-21,ETH,-3.8771151379278113,0.9336241925478037
2025-03-22,Altcoin,-0.7044496229587914,0.3148664456733485
2025-03-22,BTC,-0.3100843194506542,0.03654101866569727
2025-03-22,ETH,-0.8230076560816202,0.44892795619631426
2025-03-23,Altcoin,-0.3664407298942199,-0.09879904485474211
2025-03-23,BTC,-0.25738076190472414,-0.07167718737499161
2025-03-23,ETH,0.7643328003786642,0.34039761155837506
2025-03-24,Altcoin,1.633196323533292,0.7663053184183187
2025-03-24,BTC,2.380143046976513,0.5698410027785121
2025-03-24,ETH,1.0862141620890275,0.8786866202553878
2025-03-25,Altcoin,2.6826203979459624,0.7489402332960233
2025-03-25,BTC,1.7951528988820797,0.5729950078382936
2025-03-25,ETH,3.8326087219161087,1.112762493280759
2025-03-26,Altcoin,0.9623272954771088,1.0551777959385753
2025-03-26,BTC,0.22083961106582617,0.8246411367834633
2025-03-26,ETH,-0.4399440617589456,1.0231585112388668
2025-03-27,Altcoin,-2.6853755890321525,-0.22105519975177104
2025-03-27,BTC,-0.6395391131569506,0.03686983255146746
2025-03-27,ETH,-2.8383900308573518,-0.3279001717488474
2025-03-28,Altcoin,0.9805282802923113,0.3627480155009773
2025-03-28,BTC,0.30636316712566725,0.499356361362537
2025-03-28,ETH,-0.3273880809165908,0.1792036935384698
2025-03-29,Altcoin,-5.053089811153458,-0.26454171426656736
2025-03-29,BTC,-3.287736017998477,0.07397754728427662
2025-03-29,ETH,-5.310531734824531,-0.46187117485337464
2025-03-30,Altcoin,-3.2789375458747423,-0.6887774901843827
2025-03-30,BTC,-1.9918292730375708,-0.1738008114489872
2025-03-30,ETH,-3.5659349368815985,-1.0804808516048408
2025-03-31,Altcoin,-0.5367363438939964,-0.9909940153476982
2025-03-31,BTC,-0.39041445631627925,-0.5695947404908146
2025-03-31,ETH,-1.3085320415061386,-1.4225874521184358
2025-04-01,Altcoin,-0.28040968858161036,-1.4069500674529625
2025-04-01,BTC,0.1915000878034645,-0.7986879992163312
2025-04-01,ETH,1.0451926505239406,-1.8207897480316027
2025-04-02,Altcoin,2.0828719061183887,-1.2471678447070011
2025-04-02,BTC,3.300640933811416,-0.35871638168124687
2025-04-02,ETH,4.547730017422236,-1.1082648795771484
2025-04-03,Altcoin,-5.070777029507612,-1.5858603119587606
2025-04-03,BTC,-3.180715842401194,-0.7217416287161387
2025-04-03,ETH,-5.841402081491653,-1.537266601096334
2025-04-04,Altcoin,0.5891314551755594,-1.6440497404566898
2025-04-04,BTC,0.7725591448211055,-0.6551422033310761
2025-04-04,ETH,1.2542069194536598,-1.3113244581862984
2025-04-05,Altcoin,2.5713151975578126,-0.566613597558483
2025-04-05,BTC,0.8273053038823308,-0.06727915734810352
2025-04-05,ETH,-0.20918864878963772,-0.5825611601813137
2025-04-06,Altcoin,-0.3623026223281425,-0.15030001375715188
2025-04-06,BTC,-0.305445462054843,0.17363281564942903
2025-04-06,ETH,-0.250482024087062,-0.10892502978209409
2025-04-07,Altcoin,-9.747502474137738,-1.463357104029711
2025-04-07,BTC,-6.440989155693222,-0.690734998547277
2025-04-07,ETH,-13.000663476244444,-1.7792295204589947
2025-04-08,Altcoin,0.1645218484755252,-1.4065278984824032
2025-04-08,BTC,1.2374253002926494,-0.5413171110488221
2025-04-08,ETH,-1.1889982331533155,-2.098399646698603
2025-04-09,Altcoin,-2.8316563364473204,-2.0995499725138353
2025-04-09,BTC,-3.5996809640857053,-1.5270773821769823
2025-04-09,ETH,-5.434050640417154,-3.52436831210423
2025-04-10,Altcoin,11.295780193911511,0.21589219366647253
2025-04-10,BTC,8.244667805893258,0.10512028186508207
2025-04-10,ETH,12.992888211166797,-0.8337554131530227
2025-04-11,Altcoin,-3.0198823186649117,-0.29839360913367574
2025-04-11,BTC,-3.662228869242723,-0.5284208630011791
2025-04-11,ETH,-8.336948670722155,-2.2039204974638538
2025-04-12,Altcoin,3.551328997612315,-0.15209305455765662
2025-04-12,BTC,4.828023526703795,0.04311031168760161
2025-04-12,ETH,2.9005994887314035,-1.759665049246562
2025-04-13,Altcoin,5.319354794158253,0.6630585055290963
2025-04-13,BTC,2.236127781260877,0.40619220358984726
2025-04-13,ETH,4.956910422712735,-1.0157518425608767
2025-04-14,Altcoin,-2.168633826575884,1.75376844661554
2025-04-14,BTC,-1.997860898873105,1.0409248117070067
2025-04-14,ETH,-3.064643921875476,0.4036795223489758
2025-04-15,Altcoin,0.1715219686270094,1.7527367674148289
2025-04-15,BTC,1.1036164356275968,1.0218092596119992
2025-04-15,ETH,1.6372118087241372,0.8074238140457547
2025-04-16,Altcoin,-2.0510418511274433,1.8681855048696514
2025-04-16,BTC,-1.0257034909942009,1.3895203271964998
2025-04-16,ETH,-2.079560463521557,1.2866366964594118
2025-04-17,Altcoin,0.8596066754749269,0.38012396602717363
2025-04-17,BTC,0.5370616430659725,0.28843373250688764
2025-04-17,ETH,-0.6370280356755242,-0.6604941959466343
2025-04-18,Altcoin,0.8416273309068442,0.9420507829900211
2025-04-18,BTC,0.9810611827305804,0.9517608827887881
2025-04-18,ETH,0.36566337971957186,0.5827360969736125
2025-04-19,Altcoin,-0.12862895077192843,0.40425335876084767
2025-04-19,BTC,-0.5853680505621295,0.17841922889365605
2025-04-19,ETH,0.35839946517142174,0.21956466503647215
2025-04-20,Altcoin,1.566363004598245,-0.1286086673565485
2025-04-20,BTC,0.8206579353063681,-0.023790749099845243
2025-04-20,ETH,1.6297144809443553,-0.2557490409304392
2025-04-21,Altcoin,-0.6456770322230512,0.09194474324074481
2025-04-21,BTC,-0.0628439937643166,0.2526402373442674
2025-04-21,ETH,-1.8321553451012162,-0.07967924424840207
2025-04-22,Altcoin,0.44568626262679584,0.12618588177887233
2025-04-22,BTC,2.796277215686449,0.49444892020981773
2025-04-22,ETH,-0.5054347396976744,-0.38577160830866086
2025-04-23,Altcoin,7.108297471090733,1.443347428498307
2025-04-23,BTC,7.002830815051597,1.6413823925020747
2025-04-23,ETH,11.55410934402672,1.5618955070553788
2025-04-24,Altcoin,0.2772261812514718,1.3662216771820102
2025-04-24,BTC,0.031296882828080186,1.5691302838966614
2025-04-24,ETH,1.9471082441651077,1.9310578327468977
2025-04-25,Altcoin,0.620300890081247,1.3486110904359114
2025-04-25,BTC,0.2856264387879559,1.4697824633334293
2025-04-25,ETH,-1.3699973138980859,1.6831063050872324
2025-04-26,Altcoin,-0.6495470966061065,1.2804604088615579
2025-04-26,BTC,0.9590612417023747,1.6904152193712159
2025-04-26,ETH,1.0967419371306741,1.7885838010814115
2025-04-27,Altcoin,0.3332928615616325,1.095771016181086
2025-04-27,BTC,-0.13616270744124526,1.5537265561215567
2025-04-27,ETH,1.8152606734064936,1.8150904000045738
2025-04-28,Altcoin,0.2969717616609617,1.2344851424077428
2025-04-28,BTC,-0.8819660687918618,1.4367091168319075
2025-04-28,ETH,-1.5142012643862612,1.8605124115352818
2025-04-29,Altcoin,0.8066641298454228,1.2778185390113883
2025-04-29,BTC,1.301862547425392,1.2232213070803277
2025-04-29,ETH,0.3239168666666403,1.9789912124444693
2025-04-30,Altcoin,-1.6018535899689583,0.016830619072013997
2025-04-30,BTC,-0.8147343476467617,0.106426283837705
2025-04-30,ETH,-0.14058716996760978,0.30832028187385074
2025-05-01,Altcoin,-0.6532182220321562,-0.12370750349890436
2025-05-01,BTC,-0.021861816875068385,0.09883218388011235
2025-05-01,ETH,-0.16263496263845267,0.006928395187627842
2025-05-02,Altcoin,1.3468730414622359,-0.023878064379193396
2025-05-02,BTC,2.3252235327595905,0.39020319730463154
2025-05-02,ETH,2.49741084124524,0.5594152744938172
2025-05-03,Altcoin,-0.4112687806212694,0.010910642636411345
2025-05-03,BTC,0.44450533061488606,0.3166952100064189
2025-05-03,ETH,0.13993834119270243,0.42272904650267845
2025-05-04,Altcoin,-0.9153817404473061,-0.16506055241191905
2025-05-04,BTC,-0.9629799590416765,0.19857845977778585
2025-05-04,ETH,-0.3761037900705144,0.1096769802916773
2025-05-05,Altcoin,-1.9464468228239946,-0.4842160746383446
2025-05-05,BTC,-1.6640952934134923,0.08684571340326722
2025-05-05,ETH,-1.436129221875393,0.12083012922180135
2025-05-06,Altcoin,0.5640786679863045,-0.5156366274321368
2025-05-06,BTC,0.45819856901319067,-0.03367771208419011
2025-05-06,ETH,0.6552734072905464,0.16816677788235937
2025-05-07,Altcoin,0.6745206438870557,-0.19388283754211158
2025-05-07,BTC,2.2116233565811383,0.39865910280550987
2025-05-07,ETH,-0.21075583011203047,0.15814268357601355
2025-05-08,Altcoin,-0.40720249373595935,-0.16028700325738823
2025-05-08,BTC,0.17754644824494736,0.427145997822655
2025-05-08,ETH,-0.3222039599899529,0.13534711252579923
2025-05-09,Altcoin,9.313800354185657,0.9708627221860879
2025-05-09,BTC,6.23518541216479,0.9857119805948263
2025-05-09,ETH,21.390965119707815,2.83442629516331
2025-05-10,Altcoin,3.41678497889057,1.5206764254921517
2025-05-10,BTC,-0.11034071380034982,0.9064482599640782
2025-05-10,ETH,6.5457460014116675,3.7495416751945903
2025-05-11,Altcoin,4.995283139950231,2.372187637992759
2025-05-11,BTC,1.6203357406392005,1.2754933599184892
2025-05-11,ETH,10.347404039304497,5.281471365105306
2025-05-12,Altcoin,-3.1837905892859304,2.1893210859354664
2025-05-12,BTC,-0.6086326397470643,1.4262737390136933
2025-05-12,ETH,-2.949804491545849,5.065232040866669
2025-05-13,Altcoin,3.021461338392811,2.5265551257737973
2025-05-13,BTC,-1.074322101450642,1.207342214661717
2025-05-13,ETH,-0.599924378648109,4.885918071446862
2025-05-14,Altcoin,2.5566767359370672,2.8023206034866486
2025-05-14,BTC,1.271092780228944,1.072980703754261
